year	max_min_factor	min_pre_factor	max_pre_factor
1985.0	0.84	0.69	0.45
1986.0	0.58	0.39	-0.11
1987.0	0.54	0.41	-0.07
1988.0	0.78	0.31	-0.44
1989.0	0.48	0.76	-0.08
1990.0	nan	0.71	nan
1991.0	0.82	0.38	-0.80
1992.0	nan	0.36	nan
1993.0	1.71	0.62	-0.43
1994.0	nan	0.55	nan
1995.0	1.21	0.61	-0.43
1996.0	0.66	0.71	0.33
1997.0	0.91	0.52	-0.90
1998.0	nan	0.62	nan
1999.0	nan	0.33	nan
2000.0	0.95	0.59	-0.09
2001.0	0.68	0.71	0.41
2002.0	0.56	0.77	0.37
2003.0	0.59	0.67	0.38
2004.0	0.62	0.57	0.36
2005.0	0.66	0.54	0.39
2006.0	0.57	0.76	0.44
2007.0	0.75	0.43	0.50
2008.0	0.66	0.58	0.48
2009.0	0.69	0.73	0.67
2010.0	0.74	0.45	0.64
2011.0	0.73	0.61	0.60
2012.0	0.74	0.82	0.73
2013.0	0.73	0.68	0.76
2014.0	0.69	0.69	0.82
